location,iso_code,date,people_fully_vaccinated_per_hundred
Afghanistan,AFG,2021/2/22,
Afghanistan,AFG,2021/2/23,
Afghanistan,AFG,2021/2/24,
Afghanistan,AFG,2021/2/25,
Afghanistan,AFG,2021/2/26,
Afghanistan,AFG,2021/2/27,
Afghanistan,AFG,2021/2/28,
Afghanistan,AFG,2021/3/1,
Afghanistan,AFG,2021/3/2,
Afghanistan,AFG,2021/3/3,
Afghanistan,AFG,2021/3/4,
Afghanistan,AFG,2021/3/5,
Afghanistan,AFG,2021/3/6,
Afghanistan,AFG,2021/3/7,
Afghanistan,AFG,2021/3/8,
Afghanistan,AFG,2021/3/9,
Afghanistan,AFG,2021/3/10,
Afghanistan,AFG,2021/3/11,
Afghanistan,AFG,2021/3/12,
Afghanistan,AFG,2021/3/13,
Afghanistan,AFG,2021/3/14,
Afghanistan,AFG,2021/3/15,
Afghanistan,AFG,2021/3/16,
Afghanistan,AFG,2021/3/17,
Afghanistan,AFG,2021/3/18,
Afghanistan,AFG,2021/3/19,
Afghanistan,AFG,2021/3/20,
Afghanistan,AFG,2021/3/21,
Afghanistan,AFG,2021/3/22,
Afghanistan,AFG,2021/3/23,
Afghanistan,AFG,2021/3/24,
Afghanistan,AFG,2021/3/25,
Afghanistan,AFG,2021/3/26,
Afghanistan,AFG,2021/3/27,
Afghanistan,AFG,2021/3/28,
Afghanistan,AFG,2021/3/29,
Afghanistan,AFG,2021/3/30,
Afghanistan,AFG,2021/3/31,
Afghanistan,AFG,2021/4/1,
Afghanistan,AFG,2021/4/2,
Afghanistan,AFG,2021/4/3,
Afghanistan,AFG,2021/4/4,
Afghanistan,AFG,2021/4/5,
Afghanistan,AFG,2021/4/6,
Afghanistan,AFG,2021/4/7,
Afghanistan,AFG,2021/4/8,
Afghanistan,AFG,2021/4/9,
Afghanistan,AFG,2021/4/10,
Afghanistan,AFG,2021/4/11,
Afghanistan,AFG,2021/4/12,
Afghanistan,AFG,2021/4/13,
Afghanistan,AFG,2021/4/14,
Afghanistan,AFG,2021/4/15,
Afghanistan,AFG,2021/4/16,
Afghanistan,AFG,2021/4/17,
Afghanistan,AFG,2021/4/18,
Afghanistan,AFG,2021/4/19,
Afghanistan,AFG,2021/4/20,
Afghanistan,AFG,2021/4/21,
Afghanistan,AFG,2021/4/22,
Afghanistan,AFG,2021/4/23,
Afghanistan,AFG,2021/4/24,
Afghanistan,AFG,2021/4/25,
Afghanistan,AFG,2021/4/26,
Afghanistan,AFG,2021/4/27,
Afghanistan,AFG,2021/4/28,
Afghanistan,AFG,2021/4/29,
Afghanistan,AFG,2021/4/30,
Afghanistan,AFG,2021/5/1,
Afghanistan,AFG,2021/5/2,
Afghanistan,AFG,2021/5/3,
Afghanistan,AFG,2021/5/4,
Afghanistan,AFG,2021/5/5,
Afghanistan,AFG,2021/5/6,
Afghanistan,AFG,2021/5/7,
Afghanistan,AFG,2021/5/8,
Afghanistan,AFG,2021/5/9,
Afghanistan,AFG,2021/5/10,
Afghanistan,AFG,2021/5/11,0.14
Afghanistan,AFG,2021/5/12,
Afghanistan,AFG,2021/5/13,
Afghanistan,AFG,2021/5/14,
Afghanistan,AFG,2021/5/15,
Afghanistan,AFG,2021/5/16,
Afghanistan,AFG,2021/5/17,
Afghanistan,AFG,2021/5/18,
Afghanistan,AFG,2021/5/19,
Afghanistan,AFG,2021/5/20,0.19
Afghanistan,AFG,2021/5/21,
Afghanistan,AFG,2021/5/22,
Afghanistan,AFG,2021/5/23,
Afghanistan,AFG,2021/5/24,0.24
